model-1593639189, 1593639189.233, 0.55, 0.2499, 0.56, 0.2487
model-1593639189, 1593639189.291, 0.58, 0.2445, 0.5, 0.2741
model-1593639189, 1593639189.35, 0.53, 0.2588, 0.6, 0.2416
model-1593639189, 1593639189.406, 0.39, 0.2587, 0.49, 0.2516
model-1593639189, 1593639189.465, 0.47, 0.252, 0.62, 0.2417
model-1593639189, 1593639189.52, 0.45, 0.2542, 0.46, 0.2516
model-1593639189, 1593639189.574, 0.52, 0.2494, 0.53, 0.2499
model-1593639189, 1593639189.626, 0.55, 0.2496, 0.57, 0.2495
model-1593639189, 1593639189.681, 0.52, 0.2499, 0.54, 0.2494
model-1593639189, 1593639189.731, 0.44, 0.2503, 0.59, 0.2489
model-1593639189, 1593639189.786, 0.48, 0.25, 0.45, 0.2508
model-1593639189, 1593639189.835, 0.49, 0.25, 0.52, 0.2492
model-1593639189, 1593639189.885, 0.61, 0.2484, 0.57, 0.248
model-1593639189, 1593639189.931, 0.47, 0.2512, 0.53, 0.2495
model-1593639189, 1593639189.977, 0.47, 0.2511, 0.49, 0.2505
model-1593639189, 1593639190.028, 0.45, 0.2507, 0.46, 0.2501
model-1593639189, 1593639190.073, 0.42, 0.2503, 0.59, 0.248
model-1593639189, 1593639190.117, 0.52, 0.2494, 0.52, 0.2498
model-1593639189, 1593639190.164, 0.5, 0.2491, 0.47, 0.2524
model-1593639189, 1593639190.208, 0.41, 0.2552, 0.5, 0.2509
model-1593639189, 1593639190.251, 0.53, 0.2486, 0.44, 0.2528
model-1593639189, 1593639190.298, 0.54, 0.2476, 0.48, 0.2502
model-1593639189, 1593639190.342, 0.54, 0.2474, 0.61, 0.2436
model-1593639189, 1593639190.386, 0.45, 0.2529, 0.51, 0.249
model-1593639189, 1593639190.434, 0.5, 0.2509, 0.48, 0.25
model-1593639189, 1593639190.477, 0.5, 0.2489, 0.4, 0.2514
model-1593639189, 1593639190.524, 0.49, 0.2497, 0.6, 0.2481
model-1593639189, 1593639190.571, 0.62, 0.248, 0.51, 0.2496
model-1593639189, 1593639190.614, 0.53, 0.2486, 0.43, 0.2529
model-1593639189, 1593639190.658, 0.45, 0.251, 0.48, 0.2514
model-1593639189, 1593639190.706, 0.48, 0.2505, 0.41, 0.2534
model-1593639189, 1593639190.75, 0.46, 0.2498, 0.54, 0.2474
model-1593639189, 1593639190.794, 0.44, 0.2501, 0.53, 0.2489
model-1593639189, 1593639190.844, 0.51, 0.2486, 0.51, 0.2492
model-1593639189, 1593639190.888, 0.51, 0.2487, 0.55, 0.2452
model-1593639189, 1593639190.932, 0.45, 0.2505, 0.56, 0.2478
model-1593639189, 1593639190.984, 0.52, 0.2476, 0.52, 0.247
model-1593639189, 1593639191.029, 0.53, 0.2476, 0.59, 0.2454
model-1593639189, 1593639191.072, 0.57, 0.2476, 0.49, 0.2476
model-1593639189, 1593639191.118, 0.51, 0.2492, 0.57, 0.2452
model-1593639189, 1593639191.162, 0.54, 0.2456, 0.58, 0.2428
model-1593639189, 1593639191.205, 0.48, 0.2532, 0.55, 0.242
model-1593639189, 1593639191.252, 0.54, 0.2458, 0.55, 0.2471
model-1593639189, 1593639191.295, 0.52, 0.2477, 0.6, 0.2412
model-1593639189, 1593639191.339, 0.54, 0.2457, 0.48, 0.2501
model-1593639189, 1593639191.385, 0.53, 0.2475, 0.55, 0.2456
model-1593639189, 1593639191.429, 0.61, 0.247, 0.63, 0.242
model-1593639189, 1593639191.473, 0.7, 0.2431, 0.56, 0.2499
model-1593639189, 1593639191.524, 0.63, 0.242, 0.63, 0.2351
